original,pred_open,pred_high,pred_low
75.199997,170.45,179.6,170.79
72.300003,181.35,179.45,179.45
71.150002,179.37,175.05,156.75
70.550003,175.31,202.29,178.65
70.550003,200.1,199.65,192.66
70.849998,194.75,193.52,186.52
69.199997,186.62,189.7,188.62
69.449997,187.55,184.66,179.66
68.800003,181.35,188.94,178.28
67.849998,191.95,194.7,192.85
69.300003,200.25,192.95,186.92
69.599998,190.71,188.94,186.7
69.650002,186.91,183.86,186.24
69.099998,185.78,179.45,178.65
66.650002,180.09,180.54,180.63
62.950001,186.02,184.84,183.87
63.650002,183.25,180.6,182.45
65.599998,184.34,180.4,181.79
64.599998,179.42,185.32,182.0
66.0,185.41,199.34,186.45
64.050003,203.36,217.79,203.28
59.400002,210.6,208.58,213.11
58.25,210.61,231.7,211.79
56.650002,229.14,227.67,224.9
57.849998,226.37,234.0,205.37
55.799999,203.3,207.35,192.56
57.5,200.25,217.59,189.5
59.950001,211.6,210.62,198.65
61.0,191.28,192.49,192.56
60.5,191.61,201.45,201.79
61.950001,205.17,203.92,204.95
61.25,205.75,208.45,206.46
60.049999,204.99,204.28,205.46
57.599998,205.2,215.0,206.72
57.099998,211.6,208.08,210.49
58.549999,210.32,207.42,202.49
57.099998,208.26,209.53,210.89
56.950001,208.06,204.5,202.9
57.400002,200.2,199.7,203.5
55.25,201.17,202.22,199.7
56.650002,200.63,204.33,202.54
54.150002,190.7,201.23,199.52
55.299999,200.2,200.2,203.45
56.450001,203.3,199.51,203.09
57.0,204.14,207.55,204.98
56.75,205.07,208.45,210.2
53.799999,205.2,206.96,205.11
53.400002,205.18,205.87,205.04
53.099998,205.77,203.2,202.9
53.0,205.75,209.53,202.45
52.599998,204.77,203.2,204.37
53.0,203.3,207.46,205.46
52.400002,207.86,207.35,206.1
52.200001,205.97,206.04,207.25
53.25,205.62,207.49,208.05
53.599998,204.94,207.49,209.42
53.150002,205.2,207.31,205.5
53.799999,205.37,204.0,205.11
54.099998,203.36,206.21,205.54
53.349998,204.94,203.77,205.4
53.400002,205.16,205.62,206.98
54.599998,205.15,203.74,205.04
54.5,205.2,203.03,205.5
53.0,205.34,202.26,205.02
51.25,205.16,216.78,207.12
52.200001,217.82,239.5,221.38
53.650002,236.33,236.2,231.35
53.0,234.13,230.97,228.89
55.5,234.55,234.0,230.82
55.0,237.05,248.68,239.6
53.700001,236.8,232.45,231.45
51.400002,230.84,230.22,211.7
51.799999,210.6,209.25,205.5
55.5,205.2,209.39,204.95
59.950001,210.6,218.85,218.85
59.400002,214.9,219.25,219.07
56.799999,223.34,220.94,220.66
55.5,218.36,212.9,210.13
54.950001,211.03,209.45,202.39
56.0,203.33,198.77,198.45
56.0,203.65,201.69,202.59
55.0,194.75,201.45,198.65
57.0,203.65,201.6,203.65
54.700001,204.05,207.42,204.95
56.900002,211.6,209.85,209.08
57.0,208.06,209.53,211.28
57.0,206.25,204.0,205.03
56.349998,203.65,200.26,203.63
54.700001,204.5,207.43,205.54
55.099998,205.37,201.78,194.27
55.099998,191.88,194.81,192.46
54.0,191.95,189.01,191.4
54.150002,189.13,189.62,189.5
54.799999,189.76,192.95,193.56
54.25,200.2,200.26,203.34
54.0,200.25,218.36,202.89
52.75,221.2,219.8,218.85
53.650002,223.37,230.8,225.51
52.25,234.67,230.23,230.31
52.299999,236.87,235.37,231.36
50.900002,236.8,239.13,237.79
51.5,238.97,247.07,237.13
51.549999,242.54,239.11,234.73
52.700001,234.45,243.16,238.56
51.75,246.76,275.64,247.83
51.700001,272.22,277.91,263.04
52.549999,269.63,275.04,266.47
51.450001,273.55,287.07,272.39
51.200001,281.35,279.3,279.3
51.349998,275.24,275.7,269.45
52.799999,266.35,272.83,259.8
52.299999,261.77,261.86,253.95
52.150002,256.11,264.93,258.28
51.75,262.79,266.78,259.91
51.75,272.97,281.69,268.29
51.75,283.35,283.35,283.15
53.650002,283.2,286.74,286.65
53.400002,281.04,280.63,273.25
54.049999,272.81,272.1,273.05
51.650002,271.7,277.54,275.48
51.700001,275.6,275.63,273.35
50.549999,272.31,274.13,268.41
50.200001,268.36,267.97,270.3
48.75,267.5,268.45,263.76
49.700001,257.88,260.46,259.8
51.5,259.65,263.53,259.26
51.349998,267.31,263.53,260.0
49.5,259.3,263.53,257.61
49.349998,258.3,254.51,248.67
49.950001,245.43,245.98,231.54
49.0,242.21,261.4,247.88
49.549999,263.8,261.01,258.59
49.75,257.26,254.6,257.93
51.900002,252.38,248.85,248.01
52.900002,242.15,242.04,242.9
52.099998,241.37,239.36,238.05
52.0,236.8,254.61,239.43
49.599998,252.4,246.35,248.67
47.299999,252.3,267.33,252.27
46.650002,267.34,265.26,268.71
46.5,267.45,267.79,268.41
45.400002,266.93,275.61,271.98
46.0,271.62,270.3,264.97
46.099998,262.8,259.42,258.98
45.900002,262.6,260.2,262.29
45.25,266.9,263.79,264.0
45.099998,262.7,262.07,260.03
45.0,262.68,264.45,264.97
45.0,262.7,263.41,262.45
44.900002,262.65,261.06,267.1
47.349998,262.79,263.59,266.55
48.0,267.5,269.12,269.25
48.900002,270.86,278.87,270.3
50.900002,281.0,280.8,282.69
49.5,277.49,276.8,283.59
51.950001,280.55,275.6,272.39
51.599998,272.93,272.24,268.41
51.200001,269.84,266.65,264.97
51.849998,267.77,272.8,269.16
50.650002,272.28,272.43,260.26
50.849998,257.12,258.04,259.8
51.0,258.41,254.78,257.96
48.200001,257.87,254.21,253.03
46.700001,253.05,246.64,247.82
48.900002,246.33,247.41,245.42
46.900002,236.4,242.57,241.85
49.150002,236.8,242.32,223.94
49.599998,234.78,230.3,227.97
50.150002,230.25,230.59,231.49
50.400002,234.55,241.9,234.53
50.0,239.66,242.25,239.6
50.599998,236.74,242.1,242.38
49.700001,243.63,244.08,243.28
50.950001,239.15,246.15,245.7
49.75,252.38,251.72,248.15
49.299999,244.27,244.08,248.04
51.0,243.66,249.48,248.42
49.5,245.6,247.2,242.9
49.0,242.54,242.16,245.7
50.0,246.59,248.1,245.14
50.849998,250.36,261.4,251.73
50.25,255.0,261.71,256.73
49.599998,256.13,263.53,257.82
49.650002,257.16,259.56,259.8
49.099998,257.31,255.41,252.2
49.0,252.82,251.1,251.72
49.200001,255.78,261.4,257.32
52.099998,257.12,254.61,257.61
51.599998,255.28,252.34,251.72
53.5,257.4,254.54,253.67
62.799999,259.66,281.69,260.0
60.349998,271.62,272.02,261.19
59.5,257.31,261.45,253.95
59.049999,254.3,248.68,247.9
