original,pred_open,pred_high,pred_low
49.700001,347.94,287.15,200.63
51.5,344.52,293.54,200.14
51.349998,359.5,293.54,202.04
49.5,343.72,293.54,198.25
49.349998,345.69,282.66,193.61
49.950001,328.24,275.57,181.53
49.0,324.45,288.13,192.52
49.549999,354.34,288.51,199.62
49.75,342.71,283.85,198.49
51.900002,335.73,279.41,192.31
52.900002,330.2,270.92,189.4
52.099998,323.73,265.5,185.96
52.0,317.98,282.72,187.75
49.599998,333.25,275.03,193.61
47.299999,335.43,296.36,196.67
46.650002,355.65,294.79,207.27
46.5,359.43,296.68,206.95
45.400002,359.72,305.88,209.1
46.0,367.43,297.87,204.85
46.099998,351.43,289.97,199.93
45.900002,350.85,290.84,203.44
45.25,355.5,293.76,204.32
45.099998,352.16,292.08,202.11
45.0,352.23,294.25,204.85
45.0,352.16,293.43,203.51
44.900002,353.39,291.38,205.87
47.349998,351.72,293.6,205.58
48.0,361.61,297.38,207.73
48.900002,362.85,311.94,208.36
50.900002,384.88,315.68,216.89
49.5,378.92,311.4,216.08
51.950001,379.79,310.7,211.17
51.599998,368.37,302.2,206.95
51.200001,362.48,295.82,204.85
51.849998,355.79,298.95,207.66
50.650002,367.94,302.36,202.39
50.849998,347.07,286.45,200.63
51.0,345.61,283.69,198.53
48.200001,345.98,284.18,196.95
46.700001,336.31,276.06,192.91
48.900002,326.56,276.33,190.87
46.900002,320.46,271.3,188.84
49.150002,317.98,269.08,175.77
49.599998,306.5,256.41,178.58
50.150002,309.55,257.49,181.67
50.400002,306.35,270.7,183.78
50.0,322.35,268.86,187.99
50.599998,318.13,268.64,189.05
49.700001,325.25,271.89,190.1
50.950001,322.06,275.79,190.94
49.75,335.73,277.52,192.0
49.299999,325.55,271.89,192.28
51.0,330.93,276.87,193.47
49.5,328.16,272.87,189.4
49.0,324.67,269.73,190.94
50.0,327.58,274.06,190.8
50.849998,332.53,288.13,195.86
50.25,341.25,291.81,197.89
49.599998,337.62,293.54,198.39
49.650002,347.21,290.29,200.63
49.099998,346.49,285.75,196.63
49.0,336.16,277.3,195.58
49.200001,337.47,288.13,198.11
52.099998,347.07,282.72,198.25
51.599998,340.67,277.95,196.07
53.5,338.34,283.91,197.12
62.799999,344.16,315.19,202.04
60.349998,367.43,301.88,202.95
59.5,346.49,288.02,197.19
59.049999,336.89,279.47,192.49
57.549999,328.89,278.82,193.61
56.849998,336.02,276.0,193.68
56.049999,328.16,268.64,189.82
57.700001,325.25,271.89,185.89
59.799999,325.4,275.14,192.91
59.849998,334.71,287.37,197.47
59.0,345.76,288.02,199.23
57.549999,347.65,289.0,200.63
57.549999,348.67,297.55,201.41
59.700001,362.77,309.56,210.68
63.349998,377.75,305.56,208.36
62.25,358.85,329.16,209.13
65.050003,381.97,322.23,218.96
63.599998,384.88,318.12,218.26
64.400002,381.97,311.4,208.36
62.450001,353.18,291.38,198.25
62.0,347.07,288.13,200.56
61.799999,358.12,292.03,203.44
61.549999,355.5,295.71,206.25
61.599998,362.19,298.41,205.83
62.0,358.99,291.59,202.74
60.349998,355.79,289.21,195.16
59.900002,335.43,280.01,191.5
58.799999,336.02,278.28,196.56
59.900002,334.13,278.93,193.61
59.549999,338.34,294.52,198.11
61.099998,342.56,286.51,198.46
61.900002,346.63,285.96,193.61
64.300003,325.25,271.57,190.8
64.199997,332.96,272.22,191.71
65.199997,332.24,272.87,194.8
67.699997,325.25,267.02,187.99
68.449997,323.66,265.83,185.96
75.150002,314.2,266.48,187.15
85.5,317.98,263.01,188.41
91.099998,318.71,262.91,187.29
87.449997,315.95,263.99,187.43
96.050003,321.91,275.57,189.19
97.300003,327.44,268.64,190.24
97.400002,329.62,269.73,188.77
95.099998,320.89,265.61,188.98
94.050003,316.53,263.12,188.62
99.949997,315.37,261.82,182.37
109.550003,303.88,252.41,181.32
106.0,301.99,249.16,177.18
102.25,301.41,254.57,181.39
95.849998,302.86,251.0,177.6
92.550003,292.53,244.29,167.35
99.550003,286.86,237.9,167.63
96.300003,280.9,239.41,167.14
102.199997,275.37,233.35,161.31
100.150002,259.81,229.67,160.25
94.5,274.36,233.35,167.98
92.199997,277.56,231.08,165.94
94.199997,275.37,234.44,167.14
92.550003,279.74,232.59,166.92
92.75,277.99,239.41,169.45
95.699997,287.59,241.9,171.91
95.949997,292.1,253.49,176.9
98.550003,306.06,252.73,179.85
97.199997,303.44,258.03,181.67
93.800003,318.13,267.56,185.96
94.75,317.98,263.66,186.38
94.050003,314.35,261.82,185.68
94.300003,315.08,265.4,186.87
93.050003,307.22,256.41,182.66
90.449997,313.62,267.13,186.59
93.400002,320.89,277.3,188.98
92.900002,332.24,277.3,195.02
93.099998,336.89,279.25,196.0
91.400002,332.53,276.22,191.36
88.400002,337.32,288.13,198.53
90.349998,351.43,294.84,200.7
90.25,354.34,288.13,199.23
89.199997,345.32,286.61,201.69
90.300003,351.58,292.46,204.5
91.050003,355.79,297.87,206.95
89.199997,362.48,296.79,204.99
98.099998,351.43,289.1,203.3
99.800003,354.92,288.78,203.44
98.150002,361.61,301.77,207.66
94.099998,368.88,298.95,207.02
101.400002,353.03,297.87,204.22
97.25,364.08,297.33,206.95
96.949997,357.97,293.0,204.71
94.949997,344.45,284.66,201.34
96.550003,339.65,289.75,199.79
97.0,346.05,282.72,201.27
95.150002,354.34,296.79,206.25
95.199997,358.56,296.79,207.09
94.150002,357.25,295.71,206.04
95.800003,356.52,295.71,204.92
94.5,367.43,298.95,210.47
96.949997,368.74,310.86,213.91
98.099998,381.97,312.49,219.1
98.400002,384.88,321.36,219.24
110.900002,391.42,318.12,215.52
113.099998,379.06,310.86,208.36
108.650002,373.24,305.99,204.43
107.800003,357.68,297.22,204.85
108.050003,363.06,318.87,210.47
106.449997,380.52,341.07,217.28
112.949997,415.42,349.83,232.94
120.849998,410.76,336.95,227.11
126.099998,394.62,318.12,220.65
125.349998,376.15,305.23,182.3
118.900002,313.62,280.44,172.89
131.350006,309.26,270.59,177.25
131.449997,310.71,282.61,184.69
126.5,349.83,311.94,203.23
128.300003,362.63,297.01,204.64
126.949997,347.21,288.56,198.6
126.599998,349.25,285.75,191.15
133.949997,330.05,274.06,186.03
127.849998,316.53,262.15,176.12
129.350006,310.13,258.9,168.75
126.949997,275.81,249.05,168.33
124.400002,301.26,259.44,181.32
121.300003,303.44,259.44,180.06
122.099998,317.98,272.22,185.39
122.199997,325.25,266.48,186.17
125.449997,320.46,264.2,185.89
126.0,320.16,263.77,184.69
124.050003,316.24,266.69,188.55
120.300003,320.31,267.56,189.4
124.150002,330.34,274.6,185.25
134.850006,316.53,265.4,186.8
138.600006,321.47,270.05,190.8
137.75,329.62,269.73,187.29
142.0,307.95,263.56,182.94
146.399994,324.53,265.94,182.52
155.25,325.25,269.51,190.66
165.25,325.11,269.4,191.64
172.199997,331.07,272.76,192.91
166.649994,336.16,284.02,190.45
165.949997,339.51,277.09,192.77
164.199997,356.96,322.99,206.53
166.550003,405.24,327.43,217.84
179.699997,379.35,319.09,214.05
179.350006,390.55,319.52,219.24
173.25,399.42,343.56,224.51
199.949997,413.96,341.07,231.74
194.800003,412.51,337.82,230.9
191.300003,420.51,337.38,226.48
189.449997,405.24,349.08,229.01
179.300003,421.96,338.47,232.31
190.550003,412.36,336.84,230.48
194.600006,412.51,331.97,226.27
193.5,403.06,328.18,221.49
187.5,394.62,319.85,217.49
184.699997,387.64,315.3,216.93
178.75,383.42,309.78,212.85
182.800003,376.15,307.72,213.56
182.449997,376.15,307.51,212.64
180.699997,373.97,302.74,212.29
179.350006,369.46,299.39,206.25
184.550003,361.17,296.9,207.94
199.449997,365.97,311.94,211.52
215.649994,377.75,308.48,217.07
210.5,383.42,330.13,219.67
227.600006,405.96,331.65,225.56
224.800003,411.78,330.89,225.92
207.0,403.78,330.89,227.39
196.0,401.89,337.82,227.04
217.399994,410.47,333.16,228.94
198.550003,405.24,334.35,231.53
191.050003,416.14,348.86,233.01
203.350006,435.92,358.49,242.84
205.050003,441.3,357.2,246.98
207.399994,440.28,355.25,238.49
204.899994,444.21,355.03,242.14
208.949997,430.25,356.33,239.96
211.5,429.23,362.28,243.12
206.649994,457.59,377.98,255.41
210.300003,460.35,367.05,242.28
202.949997,432.87,346.59,215.8
199.600006,409.6,329.27,225.07
199.800003,401.46,341.93,226.76
201.649994,407.13,348.53,232.45
196.550003,412.65,334.57,229.85
200.100006,413.24,335.22,228.87
203.149994,405.09,331.97,227.46
206.75,410.18,335.22,229.5
208.550003,415.34,333.54,230.97
204.850006,410.76,332.62,230.13
204.699997,411.05,330.35,229.08
202.800003,410.91,332.78,230.13
203.199997,406.69,328.94,230.2
203.149994,408.87,328.72,228.37
208.100006,408.87,328.72,228.02
207.449997,405.24,326.88,228.02
206.699997,413.96,334.84,230.62
208.149994,413.67,332.3,229.18
207.050003,411.49,330.67,228.83
205.100006,402.33,323.85,223.11
203.75,401.6,331.92,229.43
206.399994,397.97,323.37,223.35
204.449997,397.24,320.06,221.42
206.25,392.88,320.5,215.38
205.25,383.42,313.57,213.06
205.100006,376.08,307.13,203.51
206.199997,353.18,287.26,196.88
216.399994,335.43,281.63,197.82
239.399994,336.89,275.14,190.7
231.449997,338.78,276.55,187.29
227.600006,320.89,266.48,186.2
234.649994,321.18,263.66,184.9
239.5,315.8,259.44,183.78
231.350006,310.71,256.19,182.2
211.800003,308.53,273.35,183.95
205.600006,335.43,280.55,194.98
215.199997,341.25,279.9,190.45
218.75,320.89,267.02,185.92
219.149994,320.89,263.23,182.76
220.300003,310.71,257.82,182.37
213.0,311.44,269.73,184.2
202.649994,320.89,263.23,181.95
198.350006,305.62,253.16,179.88
201.600006,308.82,255.22,169.84
201.550003,296.17,244.83,166.29
203.75,298.35,254.57,178.48
209.5,309.99,257.38,175.46
209.75,294.72,244.67,169.7
210.25,294.86,247.97,174.79
202.699997,295.37,245.31,172.68
204.600006,291.08,253.43,174.51
205.449997,310.71,255.71,181.53
195.100006,309.99,258.79,182.23
190.399994,311.8,256.46,178.23
190.550003,297.62,245.91,174.65
189.399994,290.06,253.49,171.84
